USPS,GEOID,ANSICODE,NAME,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,ALBERS_X,ALBERS_Y
IA,19181,00465279,Warren County,46225,18371,1475844938,9125380,     569.827,       3.523,  194301.5771,-7870098
IA,19183,00465280,Washington County,21704,9516,1473276393,5399692,     568.835,       2.085,  346596.7374,-7865690
IA,19185,00465281,Wayne County,6403,3212,1360874542,4441137,     525.437,       1.715,  215305.7957,-7936485
IA,19187,00465282,Webster County,38013,17035,1853443769,7277623,     715.619,       2.810,  141150.8828,-7748273
IA,19189,00465283,Winnebago County,10866,5194,1037261544,3182052,     400.489,       1.229,  174260.4312,-7642033
IA,19191,00465284,Winneshiek County,21056,8721,1786750121,698598,     689.868,       0.270,  326805.6882,-7646552
IA,19193,00465285,Woodbury County,102172,41484,2260629616,12793293,     872.834,       4.940,  -11659.8131,-7754158
IA,19195,00465286,Worth County,7598,3548,1036314948,4709127,     400.123,       1.818,  214069.5266,-7641539
IA,19197,00465287,Wright County,13229,6529,1503286817,4703964,     580.422,       1.816,  176615.1357,-7714125
KS,20001,00484970,Allen County,13371,6226,1295779123,13007076,     500.303,       5.022,   52963.7839,-8259771
KS,20003,00484971,Anderson County,8102,3720,1501276302,10586961,     579.646,       4.088,   53495.4354,-8222613
KS,20005,00484972,Atchison County,16924,6990,1116729659,6857598,     431.172,       2.648,   50719.2458,-8074720
KS,20007,00484973,Barber County,4861,2765,2937235546,5420045,    1134.073,       2.093, -243271.3394,-8330646
KS,20009,00484974,Barton County,27674,12696,2319075093,13557185,     895.400,       5.234, -246280.1467,-8189203
KS,20011,00484975,Bourbon County,15173,7167,1645861744,9377657,     635.471,       3.621,   92107.0263,-8262586
KS,20013,00484976,Brown County,9984,4779,1478551884,3196161,     570.872,       1.234,   28808.6992,-8041900
KS,20015,00484977,Butler County,65880,26058,3703329246,43160444,    1429.863,      16.664,  -80802.7184,-8271960
KS,20017,00484978,Chase County,2790,1503,2002216830,12088093,     773.060,       4.667,  -59081.6409,-8213205
KS,20019,00484979,Chautauqua County,3669,2150,1654693205,15244179,     638.881,       5.886,  -29404.0072,-8341853
KS,20021,00484980,Cherokee County,21603,9890,1521793550,8948884,     587.568,       3.455,   93425.4256,-8339683
KS,20023,00484981,Cheyenne County,2726,1518,2641495949,2738022,    1019.887,       1.057, -492133.5461,-8031003
KS,20025,00484982,Clark County,2215,1135,2524286181,6604959,     974.632,       2.550, -342143.2232,-8325944
KS,20027,00484983,Clay County,8535,4042,1671322093,26674040,     645.301,      10.299, -107195.1945,-8095225
KS,20029,00484984,Cloud County,9533,4659,1852726587,6859864,     715.342,       2.649, -147150.4614,-8078614
KS,20031,00484985,Coffey County,8601,3964,1623784229,70310651,     626.947,      27.147,   15675.8802,-8220376
KS,20033,00484986,Comanche County,1891,1044,2041681413,3604153,     788.298,       1.392, -293276.8620,-8332837
KS,20035,00484987,Cowley County,36311,16030,2915679697,17291321,    1125.750,       6.676,  -81261.2474,-8332499
KS,20037,00484988,Crawford County,39134,17801,1527461827,13611094,     589.756,       5.255,   92282.5069,-8301940
KS,20039,00484989,Decatur County,2961,1818,2314199313,1631670,     893.517,       0.630, -385014.3285,-8037492
KS,20041,00484990,Dickinson County,19754,8972,2193906542,12634524,     847.072,       4.878, -106969.1691,-8148808
KS,20043,00484991,Doniphan County,7945,3576,1018914848,12615016,     393.405,       4.871,   64606.1509,-8045892
KS,20045,00484992,Douglas County,110826,46731,1180699859,48602935,     455.871,      18.766,   53127.6719,-8146099
KS,20047,00484993,Edwards County,3037,1636,1610697086,208568,     621.894,       0.081, -294933.5973,-8254745
KS,20049,00484994,Elk County,2882,1760,1668637984,16061465,     644.265,       6.201,  -29218.6669,-8307971
KS,20051,00484995,Ellis County,28452,12872,2330762469,1197085,     899.912,       0.462, -291877.6735,-8139017
KS,20053,00484996,Ellsworth County,6497,3239,1854034693,19270084,     715.847,       7.440, -197215.8605,-8165867
KS,20055,00485326,Finney County,36776,13276,3372079580,1825540,    1301.967,       0.705, -418595.8351,-8230706
KS,20057,00484997,Ford County,33848,12005,2844508251,2097359,    1098.271,       0.810, -346217.4605,-8274694
KS,20059,00484998,Franklin County,25992,11147,1480840246,13936113,     571.756,       5.381,   54371.5963,-8184104
KS,20061,00484999,Geary County,34362,14517,996156662,51455057,     384.618,      19.867,  -73402.6602,-8134088
KS,20063,00485000,Gove County,2695,1373,2775599078,245361,    1071.665,       0.095, -392033.8703,-8134511
KS,20065,00481811,Graham County,2597,1484,2327160854,599432,     898.522,       0.231, -338099.0737,-8088369
KS,20067,00485099,Grant County,7829,2945,1488724794,892455,     574.800,       0.345, -470231.1959,-8284413
KS,20069,00485001,Gray County,6006,2340,2250356182,1113338,     868.867,       0.430, -395272.5286,-8266184
KS,20071,00485002,Greeley County,1247,629,2016176814,0,     778.450,       0.000, -507890.2428,-8177241
KS,20073,00485003,Greenwood County,6689,4068,2961132699,24155799,    1143.300,       9.327,  -28842.3081,-8260516
KS,20075,00485327,Hamilton County,2690,1236,2580942885,2904549,     996.508,       1.121, -510202.4545,-8231679
KS,20077,00485004,Harper County,6034,3116,2075276375,3913474,     801.269,       1.511, -189146.3087,-8335951
KS,20079,00485005,Harvey County,34684,14527,1397957172,2507542,     539.754,       0.968, -132343.3324,-8240248
KS,20081,00485328,Haskell County,4256,1666,1495773065,910409,     577.521,       0.352, -433335.7467,-8285186
KS,20083,00485006,Hodgeman County,1916,973,2227369168,826344,     859.992,       0.319, -345527.8859,-8229867
KS,20085,00485007,Jackson County,13462,5779,1699594134,4666496,     656.217,       1.802,    9861.0473,-8088517
KS,20087,00485008,Jefferson County,19126,8160,1379359803,62427436,     532.574,      24.103,   45643.9789,-8107629
KS,20089,00485009,Jewell County,3077,2032,2356321996,11859548,     909.781,       4.579, -195757.4583,-8045060
KS,20091,00485010,Johnson County,544179,226571,1226034453,16890687,     473.375,       6.522,   93272.0622,-8147161
KS,20093,00485011,Kearny County,3977,1556,2254697108,1133601,     870.543,       0.438, -468147.4491,-8234266
KS,20095,00485012,Kingman County,7858,3818,2236099115,8536481,     863.363,       3.296, -195019.3452,-8294847
KS,20097,00485013,Kiowa County,2553,1220,1871626797,596764,     722.639,       0.230, -294637.8088,-8290976
KS,20099,00485014,Labette County,21607,10092,1671305414,20261495,     645.295,       7.823,   53767.1343,-8337554
KS,20101,00485015,Lane County,1750,990,1858200248,551220,     717.455,       0.213, -392566.9017,-8183490
KS,20103,00485016,Leavenworth County,76227,28697,1198726879,15905519,     462.831,       6.141,   74386.2386,-8113045
KS,20105,00485017,Lincoln County,3241,1864,1863226611,2748359,     719.396,       1.061, -197038.6572,-8126965
KS,20107,00485018,Linn County,9656,5446,1538604962,31951412,     594.059,      12.337,   92174.5800,-8222109
KS,20109,00485019,Logan County,2756,1441,2779042457,274632,    1072.994,       0.106, -449395.6809,-8131990
KS,20111,00485020,Lyon County,33690,15237,2194947808,20572299,     847.474,       7.943,  -21662.1825,-8195767
KS,20113,00485021,McPherson County,29180,12721,2326520077,6030285,     898.274,       2.328, -149908.4562,-8201127
KS,20115,00485022,Marion County,12660,5946,2445700985,24448971,     944.290,       9.440, -102954.5230,-8205912
KS,20117,00485023,Marshall County,10117,4866,2331463499,12753940,     900.183,       4.924,  -51717.9213,-8046636
KS,20119,00485024,Meade County,4575,1998,2533234935,3258258,     978.088,       1.258, -389934.5156,-8322712
KS,20121,00485025,Miami County,32787,13190,1490955548,37799723,     575.661,      14.595,   92764.2302,-8182776
KS,20123,00485026,Mitchell County,6373,3296,1817632788,44979984,     701.792,      17.367, -195510.4573,-8088177
KS,20125,00485027,Montgomery County,35471,16578,1666728264,20601764,     643.527,       7.954,   14736.2555,-8337931
KS,20127,00485028,Morris County,5923,3206,1800763909,19710791,     695.279,       7.610,  -63137.3906,-8169480
KS,20129,00485135,Morton County,3233,1467,1889993253,507841,     729.731,       0.196, -517214.6566,-8322369
KS,20131,00485029,Nemaha County,10178,4562,1858126462,5207942,     717.427,       2.011,   -8042.2195,-8045863
